month,mother_age,child_gender,mother_race,birth_count
2020-03,30  -  34,M,MALAYS,105
2020-03,30  -  34,F,OTHERS,77
2020-03,30  -  34,M,OTHERS,72
2020-03,35  -  39,F,CHINESE,250
2020-03,35  -  39,M,CHINESE,236
2020-03,35  -  39,F,INDIANS,30
2020-03,35  -  39,M,INDIANS,30
2020-03,35  -  39,F,MALAYS,49
2020-03,35  -  39,M,MALAYS,59
2020-03,35  -  39,F,OTHERS,41
2020-03,35  -  39,M,OTHERS,62
2020-03,40  -  44,F,CHINESE,59
2020-03,40  -  44,M,CHINESE,47
2020-03,40  -  44,F,INDIANS,4
2020-03,40  -  44,M,INDIANS,5
2020-03,40  -  44,F,MALAYS,6
2020-03,40  -  44,M,MALAYS,13
2020-03,40  -  44,F,OTHERS,6
2020-03,40  -  44,M,OTHERS,22
2020-03,45  -  49,F,CHINESE,2
2020-03,45  -  49,M,MALAYS,1
2020-04,15  -  19,F,CHINESE,2
2020-04,15  -  19,M,CHINESE,3
2020-04,15  -  19,M,INDIANS,2
2020-04,15  -  19,F,MALAYS,4
2020-04,15  -  19,M,MALAYS,5
2020-04,20  -  24,F,CHINESE,13
2020-04,20  -  24,M,CHINESE,13
2020-04,20  -  24,F,INDIANS,9
2020-04,20  -  24,M,INDIANS,9
2020-04,20  -  24,F,MALAYS,27
2020-04,20  -  24,M,MALAYS,29
2020-04,20  -  24,F,OTHERS,9
2020-04,20  -  24,M,OTHERS,7
2020-04,25  -  29,F,CHINESE,152
2020-04,25  -  29,M,CHINESE,160
2020-04,25  -  29,F,INDIANS,27
2020-04,25  -  29,M,INDIANS,36
2020-04,25  -  29,F,MALAYS,118
2020-04,25  -  29,M,MALAYS,121
2020-04,25  -  29,F,OTHERS,24
2020-04,25  -  29,M,OTHERS,32
2020-04,30  -  34,F,CHINESE,394
2020-04,30  -  34,M,CHINESE,484
2020-04,30  -  34,F,INDIANS,55
2020-04,30  -  34,M,INDIANS,70
2020-04,30  -  34,F,MALAYS,123
2020-04,30  -  34,M,MALAYS,124
2020-04,30  -  34,F,OTHERS,70
2020-04,30  -  34,M,OTHERS,75
2020-04,35  -  39,F,CHINESE,251
